date,time,temperature_2m,total_precipitation_mm,rainfall_1week
2023-01-05,16:00:00,32.27559814,0.052928925,
2023-01-05,17:00:00,32.37612305,0.073432922,
2023-01-05,18:00:00,32.96047363,0.002384186,
2023-01-05,19:00:00,31.80074463,0.102519989,
2023-01-05,20:00:00,30.26156006,0.000953674,
2023-01-05,21:00:00,28.45391235,0,
2023-01-05,22:00:00,27.98253784,0,
2023-01-05,23:00:00,27.55074463,0,
2023-01-06,00:00:00,26.93346558,0,
2023-01-06,01:00:00,26.56340942,0,
2023-01-06,02:00:00,26.03792725,0,
2023-01-06,03:00:00,25.22471008,0,
2023-01-06,04:00:00,24.77871094,0.001430511,
2023-01-06,05:00:00,24.19063721,0,
2023-01-06,06:00:00,23.64681396,0,
2023-01-06,07:00:00,23.30559692,0,
2023-01-06,08:00:00,23.50420532,0,
2023-01-06,09:00:00,23.40038452,0,
2023-01-06,10:00:00,25.07401428,0,
2023-01-06,11:00:00,26.84642944,0,
2023-01-06,12:00:00,28.00658569,0.000476837,
2023-01-06,13:00:00,29.05359802,0,
2023-01-06,14:00:00,30.3066803,0,
2023-01-06,15:00:00,32.15690002,0,
2023-01-06,16:00:00,32.99233398,0,
2023-01-06,17:00:00,33.095224,0,
2023-01-06,18:00:00,33.14779053,0,
2023-01-06,19:00:00,32.41062317,0,
2023-01-06,20:00:00,31.84076843,0,
2023-01-06,21:00:00,30.0568634,0,
2023-01-06,22:00:00,28.29226074,0,
2023-01-06,23:00:00,27.89672241,0,
2023-01-07,00:00:00,27.4374939,0,10.12182236
2023-01-07,01:00:00,26.89476929,0,10.12182236
2023-01-07,02:00:00,26.23679504,0,10.12182236
2023-01-07,03:00:00,24.87946472,0,10.12182236
2023-01-07,04:00:00,24.55872498,0,10.12182236
2023-01-07,05:00:00,24.38852844,0,10.12182236
2023-01-07,06:00:00,24.06710205,0,10.12182236
2023-01-07,07:00:00,23.68444214,0,10.12182236
2023-01-07,08:00:00,23.34449158,0,10.12182236
2023-01-07,09:00:00,23.11057434,0,10.12182236
2023-01-07,10:00:00,25.75525818,0,10.12182236
2023-01-07,11:00:00,27.50817261,0,10.12182236
2023-01-07,12:00:00,28.46355591,0.063419342,10.12182236
2023-01-07,13:00:00,29.41988525,0.075340271,10.12182236
2023-01-07,14:00:00,30.71557007,0.040531158,10.12182236
2023-01-07,15:00:00,32.58461914,0.039100647,10.12182236
2023-01-07,16:00:00,32.79094849,0.030994415,10.12182236
2023-01-07,17:00:00,33.2340332,0.04196167,10.12182236
2023-01-07,18:00:00,33.09423218,0.011920929,10.12182236
2023-01-07,19:00:00,32.3805481,0.001430511,10.12182236
2023-01-07,20:00:00,31.78112183,0.001907349,10.12182236
2023-01-07,21:00:00,29.57537231,0,10.12182236
2023-01-07,22:00:00,27.84914551,0,10.12182236
2023-01-07,23:00:00,27.53551636,0.004291534,10.12182236
2023-01-08,00:00:00,27.23009644,0.036716461,10.97106934
2023-01-08,01:00:00,26.67196045,0.05531311,10.97106934
2023-01-08,02:00:00,26.43563232,0.152587891,10.97106934
2023-01-08,03:00:00,25.19584045,0.03194809,10.97106934
2023-01-08,04:00:00,25.20443115,0.049591064,10.97106934
2023-01-08,05:00:00,24.93184814,0.002384186,10.97106934
2023-01-08,06:00:00,24.3961731,0,10.97106934
2023-01-08,07:00:00,23.86763916,0,10.97106934
2023-01-08,08:00:00,23.70467529,0,10.97106934
2023-01-08,09:00:00,23.32076416,0,10.97106934
2023-01-08,10:00:00,25.8633667,0,10.97106934
2023-01-08,11:00:00,27.34349976,0,10.97106934
2023-01-08,12:00:00,28.67107544,0.05197525,10.97106934
2023-01-08,13:00:00,29.60439453,0.064849854,10.97106934
2023-01-08,14:00:00,31.05278931,0.079154968,10.97106934
2023-01-08,15:00:00,32.14745483,0.09727478,10.97106934
2023-01-08,16:00:00,32.73275146,0.00667572,10.97106934
2023-01-08,17:00:00,32.09102783,0.000953674,10.97106934
2023-01-08,18:00:00,32.03579102,0.01001358,10.97106934
2023-01-08,19:00:00,31.24898682,3.748416901,10.97106934
2023-01-08,20:00:00,28.9109436,0.18119812,10.97106934
2023-01-08,21:00:00,27.82418213,0.050067902,10.97106934
2023-01-08,22:00:00,26.13134155,0.000476837,10.97106934
2023-01-08,23:00:00,25.85216675,0,10.97106934
2023-01-09,00:00:00,25.86776123,0,11.51895523
2023-01-09,01:00:00,25.81032715,0,11.51895523
2023-01-09,02:00:00,25.58919678,0,11.51895523
2023-01-09,03:00:00,25.07680664,0,11.51895523
2023-01-09,04:00:00,24.55327759,0,11.51895523
2023-01-09,05:00:00,24.83361206,0,11.51895523
2023-01-09,06:00:00,24.63082275,0,11.51895523
2023-01-09,07:00:00,24.48574219,0.012397766,11.51895523
2023-01-09,08:00:00,23.49859009,0,11.51895523
2023-01-09,09:00:00,23.62319336,0.000953674,11.51895523
2023-01-09,10:00:00,26.08841858,0.091075897,11.51895523
2023-01-09,11:00:00,27.31395874,0.18453598,11.51895523
2023-01-09,12:00:00,28.48803101,0.03194809,11.51895523
2023-01-09,13:00:00,29.08135376,0.093460083,11.51895523
2023-01-09,14:00:00,30.13085327,0.081062317,11.51895523
2023-01-09,15:00:00,32.66364441,0.050544739,11.51895523
2023-01-09,16:00:00,33.398172,0.000476837,11.51895523
2023-01-09,17:00:00,33.36940918,0.011444092,11.51895523
2023-01-09,18:00:00,33.54235229,0.011444092,11.51895523
2023-01-09,19:00:00,33.351297,0.002861023,11.51895523
2023-01-09,20:00:00,31.24508057,0.389099121,11.51895523
2023-01-09,21:00:00,29.29439697,0.083446503,11.51895523
2023-01-09,22:00:00,27.79421387,0.006198883,11.51895523
2023-01-09,23:00:00,27.71764526,0,11.51895523
2023-01-10,00:00:00,27.28528748,0,10.96248627
2023-01-10,01:00:00,26.91114197,0,10.96248627
2023-01-10,02:00:00,26.51033936,0,10.96248627
2023-01-10,03:00:00,25.62134705,0,10.96248627
2023-01-10,04:00:00,25.2275177,0,10.96248627
2023-01-10,05:00:00,24.95246277,0,10.96248627
2023-01-10,06:00:00,24.54171143,0,10.96248627
2023-01-10,07:00:00,24.27312622,0,10.96248627
2023-01-10,08:00:00,24.0102478,0,10.96248627
2023-01-10,09:00:00,24.17843018,0,10.96248627
2023-01-10,10:00:00,26.0214325,0,10.96248627
2023-01-10,11:00:00,27.15297852,0.03194809,10.96248627
2023-01-10,12:00:00,28.55608521,0.042438507,10.96248627
2023-01-10,13:00:00,29.53817139,0.056743622,10.96248627
2023-01-10,14:00:00,30.51844177,0.036239624,10.96248627
2023-01-10,15:00:00,32.53113708,0.008583069,10.96248627
2023-01-10,16:00:00,32.36885986,0.004768372,10.96248627
2023-01-10,17:00:00,32.40836487,0.01335144,10.96248627
2023-01-10,18:00:00,33.27129517,0.008583069,10.96248627
2023-01-10,19:00:00,32.55794678,0.752449036,10.96248627
2023-01-10,20:00:00,31.78630981,0.193595886,10.96248627
2023-01-10,21:00:00,29.29290161,0.002861023,10.96248627
2023-01-10,22:00:00,26.82079468,0,10.96248627
2023-01-10,23:00:00,26.67455444,0,10.96248627
2023-01-11,00:00:00,26.50246582,0,7.880210876
2023-01-11,01:00:00,26.03807983,0.002861023,7.880210876
2023-01-11,02:00:00,26.18169556,0.000476837,7.880210876
2023-01-11,03:00:00,24.89147339,0.030040741,7.880210876
2023-01-11,04:00:00,24.4145752,0.002861023,7.880210876
2023-01-11,05:00:00,24.06627808,0.000476837,7.880210876
2023-01-11,06:00:00,23.87478027,0,7.880210876
2023-01-11,07:00:00,23.73687134,0,7.880210876
2023-01-11,08:00:00,23.86383972,0,7.880210876
2023-01-11,09:00:00,23.77520142,0,7.880210876
2023-01-11,10:00:00,26.52092896,0,7.880210876
2023-01-11,11:00:00,27.75777588,0.017642975,7.880210876
2023-01-11,12:00:00,28.69414673,0.051021576,7.880210876
2023-01-11,13:00:00,29.03804932,0.017166138,7.880210876
2023-01-11,14:00:00,30.17527161,0.004291534,7.880210876
2023-01-11,15:00:00,32.27446899,0.00333786,7.880210876
2023-01-11,16:00:00,33.1435791,0.003814697,7.880210876
2023-01-11,17:00:00,33.64510498,0.002384186,7.880210876
2023-01-11,18:00:00,33.25350342,0.011920929,7.880210876
2023-01-11,19:00:00,33.17653809,0.00667572,7.880210876
2023-01-11,20:00:00,31.98702393,0.008106232,7.880210876
2023-01-11,21:00:00,28.38317261,0.000476837,7.880210876
2023-01-11,22:00:00,28.4114624,0.000476837,7.880210876
2023-01-11,23:00:00,27.71114502,0,7.880210876
2023-01-12,00:00:00,27.4397522,0,14.6856308
2023-01-12,01:00:00,27.04467163,0,14.6856308
2023-01-12,02:00:00,26.63106689,0,14.6856308
2023-01-12,03:00:00,25.80925903,0,14.6856308
2023-01-12,04:00:00,25.63216553,0,14.6856308
2023-01-12,05:00:00,25.37471924,0,14.6856308
2023-01-12,06:00:00,25.26424561,0.000476837,14.6856308
2023-01-12,07:00:00,25.09154663,0.000953674,14.6856308
2023-01-12,08:00:00,24.69118652,0,14.6856308
2023-01-12,09:00:00,23.68477783,0,14.6856308
2023-01-12,10:00:00,26.61167297,0,14.6856308
2023-01-12,11:00:00,28.15343628,0.008583069,14.6856308
2023-01-12,12:00:00,29.13735352,0.05197525,14.6856308
2023-01-12,13:00:00,29.3741394,0.08058548,14.6856308
2023-01-12,14:00:00,30.50190125,0.09727478,14.6856308
2023-01-12,15:00:00,32.80321655,0.021934509,14.6856308
2023-01-12,16:00:00,32.48684082,0.033378601,14.6856308
2023-01-12,17:00:00,32.05370483,1.770973206,14.6856308
2023-01-12,18:00:00,30.10415039,5.239009857,14.6856308
2023-01-12,19:00:00,29.24862061,0.04529953,14.6856308
2023-01-12,20:00:00,29.62233887,0.007152557,14.6856308
2023-01-12,21:00:00,28.89711914,0.000953674,14.6856308
2023-01-12,22:00:00,28.25325928,0.010967255,14.6856308
2023-01-12,23:00:00,27.95614014,0.017166138,14.6856308
2023-01-13,00:00:00,27.71749268,0.024318695,16.45159721
2023-01-13,01:00:00,27.3901001,0.020503998,16.45159721
2023-01-13,02:00:00,26.76577148,0,16.45159721
2023-01-13,03:00:00,25.57744751,0,16.45159721
2023-01-13,04:00:00,25.23139343,0,16.45159721
2023-01-13,05:00:00,24.91686401,0,16.45159721
2023-01-13,06:00:00,24.75036011,0,16.45159721
2023-01-13,07:00:00,24.82720337,0.000476837,16.45159721
2023-01-13,08:00:00,24.6994873,0.003814697,16.45159721
2023-01-13,09:00:00,24.83669434,0.00333786,16.45159721
2023-01-13,10:00:00,27.41469727,0.002861023,16.45159721
2023-01-13,11:00:00,28.03338013,0.050067902,16.45159721
2023-01-13,12:00:00,28.99312744,0.106811523,16.45159721
2023-01-13,13:00:00,29.57019958,0.217914581,16.45159721
2023-01-13,14:00:00,30.34575806,0.183105469,16.45159721
2023-01-13,15:00:00,32.09005127,0.076532364,16.45159721
2023-01-13,16:00:00,33.07561646,0.030517578,16.45159721
2023-01-13,17:00:00,30.94007263,0.023841858,16.45159721
2023-01-13,18:00:00,31.96169434,0.046730042,16.45159721
2023-01-13,19:00:00,31.77430115,0.018596649,16.45159721
2023-01-13,20:00:00,30.30266724,0.915527344,16.45159721
2023-01-13,21:00:00,28.26497803,0.04196167,16.45159721
2023-01-13,22:00:00,26.99584351,0.000476837,16.45159721
2023-01-13,23:00:00,26.72831116,0.000476837,16.45159721
2023-01-14,00:00:00,26.51304016,0,20.14756203
2023-01-14,01:00:00,26.05303345,0,20.14756203
2023-01-14,02:00:00,25.69356689,0,20.14756203
2023-01-14,03:00:00,24.92650757,0,20.14756203
2023-01-14,04:00:00,24.27861938,0,20.14756203
2023-01-14,05:00:00,23.86394653,0,20.14756203
2023-01-14,06:00:00,23.22695313,0,20.14756203
2023-01-14,07:00:00,22.77102051,0,20.14756203
2023-01-14,08:00:00,22.85244141,0,20.14756203
2023-01-14,09:00:00,22.90502319,0,20.14756203
2023-01-14,10:00:00,26.11487732,0,20.14756203
2023-01-14,11:00:00,27.08406982,0,20.14756203
2023-01-14,12:00:00,28.00704346,0.082015991,20.14756203
2023-01-14,13:00:00,28.62703857,0.34570694,20.14756203
2023-01-14,14:00:00,28.85991821,0.110149384,20.14756203
2023-01-14,15:00:00,30.8721405,0.011444092,20.14756203
2023-01-14,16:00:00,31.22072754,0.001430511,20.14756203
2023-01-14,17:00:00,31.56096802,0.001430511,20.14756203
2023-01-14,18:00:00,31.79775391,0.061988831,20.14756203
2023-01-14,19:00:00,30.69835815,0.168323517,20.14756203
2023-01-14,20:00:00,28.9420105,1.973152161,20.14756203
2023-01-14,21:00:00,27.82167969,0.625610352,20.14756203
2023-01-14,22:00:00,26.21886597,0.2784729,20.14756203
2023-01-14,23:00:00,25.33364258,0.347137451,20.14756203
2023-01-15,00:00:00,25.05233154,0.157356262,30.62796593
2023-01-15,01:00:00,24.85909424,0.266075134,30.62796593
2023-01-15,02:00:00,25.04793701,0.057697296,30.62796593
2023-01-15,03:00:00,23.98079834,0.000953674,30.62796593
2023-01-15,04:00:00,23.91079102,0.000953674,30.62796593
2023-01-15,05:00:00,23.78399048,0,30.62796593
2023-01-15,06:00:00,23.71941528,0.188827515,30.62796593
2023-01-15,07:00:00,23.36977539,0.717163086,30.62796593
2023-01-15,08:00:00,23.42525635,2.314090729,30.62796593
2023-01-15,09:00:00,22.9011322,3.480434418,30.62796593
2023-01-15,10:00:00,22.18479309,2.661705017,30.62796593
2023-01-15,11:00:00,22.37787781,2.395153046,30.62796593
2023-01-15,12:00:00,22.52300415,1.298427582,30.62796593
2023-01-15,13:00:00,22.4949585,0.449180603,30.62796593
2023-01-15,14:00:00,23.0196167,0.373840332,30.62796593
2023-01-15,15:00:00,24.32964478,0.43296814,30.62796593
2023-01-15,16:00:00,24.91784058,0.267982483,30.62796593
2023-01-15,17:00:00,26.10933838,0.03528595,30.62796593
2023-01-15,18:00:00,26.60421143,0,30.62796593
2023-01-15,19:00:00,26.81173096,0.000953674,30.62796593
2023-01-15,20:00:00,26.81051025,0,30.62796593
2023-01-15,21:00:00,25.89589844,0,30.62796593
2023-01-15,22:00:00,24.81356201,0,30.62796593
2023-01-15,23:00:00,24.53740845,0.000953674,30.62796593
2023-01-16,00:00:00,24.27797852,0.020027161,41.96953773
2023-01-16,01:00:00,23.93898926,0.112056732,41.96953773
2023-01-16,02:00:00,23.14382324,0.07390976,41.96953773
2023-01-16,03:00:00,22.91222534,0.045776367,41.96953773
2023-01-16,04:00:00,22.55495605,0.052928925,41.96953773
2023-01-16,05:00:00,22.03841553,0.038146973,41.96953773
2023-01-16,06:00:00,22.06212769,0.011920929,41.96953773
2023-01-16,07:00:00,22.48909912,0.877857208,41.96953773
2023-01-16,08:00:00,21.80726013,0.908851624,41.96953773
2023-01-16,09:00:00,21.67115173,0.900268555,41.96953773
2023-01-16,10:00:00,22.51752625,0.982761383,41.96953773
2023-01-16,11:00:00,22.68895874,1.492023468,41.96953773
2023-01-16,12:00:00,23.46581421,1.028060913,41.96953773
2023-01-16,13:00:00,23.89684448,0.883579254,41.96953773
2023-01-16,14:00:00,24.9719635,0.886917114,41.96953773
2023-01-16,15:00:00,27.65587769,0.629425049,41.96953773
2023-01-16,16:00:00,28.18207703,0.924110413,41.96953773
2023-01-16,17:00:00,29.08278809,0.910758972,41.96953773
2023-01-16,18:00:00,29.46590576,0.282287598,41.96953773
2023-01-16,19:00:00,29.28389893,0.000476837,41.96953773
2023-01-16,20:00:00,29.28392944,1.1510849,41.96953773
2023-01-16,21:00:00,28.06307373,0.153541565,41.96953773
2023-01-16,22:00:00,25.94921265,0.022888184,41.96953773
2023-01-16,23:00:00,25.56755981,0.002861023,41.96953773
2023-01-17,00:00:00,25.11647949,0,48.94948006
2023-01-17,01:00:00,24.77758179,0.029563904,48.94948006
2023-01-17,02:00:00,24.66826782,0.004768372,48.94948006
2023-01-17,03:00:00,23.74997864,0,48.94948006
2023-01-17,04:00:00,23.34891663,0,48.94948006
2023-01-17,05:00:00,22.99057922,0,48.94948006
2023-01-17,06:00:00,22.57453308,0,48.94948006
2023-01-17,07:00:00,22.23246155,0,48.94948006
2023-01-17,08:00:00,22.41202698,0,48.94948006
2023-01-17,09:00:00,22.2502533,0,48.94948006
2023-01-17,10:00:00,24.62688599,0,48.94948006
2023-01-17,11:00:00,26.00231323,0,48.94948006
2023-01-17,12:00:00,27.42701111,0.002861023,48.94948006
2023-01-17,13:00:00,27.98755798,0.005245209,48.94948006
2023-01-17,14:00:00,29.24103699,0.004291534,48.94948006
2023-01-17,15:00:00,31.2913147,0.002861023,48.94948006
2023-01-17,16:00:00,32.08251343,0.000953674,48.94948006
2023-01-17,17:00:00,31.6456543,0.016212463,48.94948006
2023-01-17,18:00:00,31.02974854,0.052452087,48.94948006
2023-01-17,19:00:00,30.62770996,0.494003296,48.94948006
2023-01-17,20:00:00,29.26427612,3.262519836,48.94948006
2023-01-17,21:00:00,26.89333496,1.721382141,48.94948006
2023-01-17,22:00:00,24.59343872,0.663757324,48.94948006
2023-01-17,23:00:00,23.76448975,1.870632172,48.94948006
2023-01-18,00:00:00,23.89023743,0.327110291,50.94695091
2023-01-18,01:00:00,23.92945251,0.061035156,50.94695091
2023-01-18,02:00:00,23.7436615,0.012397766,50.94695091
2023-01-18,03:00:00,23.01255188,0.001430511,50.94695091
2023-01-18,04:00:00,22.49642334,0,50.94695091
2023-01-18,05:00:00,22.20986328,0,50.94695091
2023-01-18,06:00:00,22.12932739,0,50.94695091
2023-01-18,07:00:00,22.00899658,0.003814697,50.94695091
2023-01-18,08:00:00,21.84028015,0.000953674,50.94695091
2023-01-18,09:00:00,21.91744385,0.047683716,50.94695091
2023-01-18,10:00:00,23.03618774,0.115394592,50.94695091
2023-01-18,11:00:00,23.88491211,0.075340271,50.94695091
2023-01-18,12:00:00,24.30593262,0.007629395,50.94695091
2023-01-18,13:00:00,25.18288574,0.012397766,50.94695091
2023-01-18,14:00:00,25.77970276,0.020503998,50.94695091
2023-01-18,15:00:00,27.27044067,0.133514404,50.94695091
2023-01-18,16:00:00,27.53255615,0.085353851,50.94695091
2023-01-18,17:00:00,27.85216675,0.092029572,50.94695091
2023-01-18,18:00:00,27.90804443,0.03862381,50.94695091
2023-01-18,19:00:00,27.17147217,0.111103058,50.94695091
2023-01-18,20:00:00,26.2484375,0.078678131,50.94695091
2023-01-18,21:00:00,25.70858154,0.120639801,50.94695091
2023-01-18,22:00:00,23.5936676,0.123023987,50.94695091
2023-01-18,23:00:00,23.65628967,0.692844391,50.94695091
2023-01-19,00:00:00,23.73781738,0.154018402,52.23202705
2023-01-19,01:00:00,23.26706848,0.140666962,52.23202705
2023-01-19,02:00:00,23.10440979,0.087738037,52.23202705
2023-01-19,03:00:00,22.57392273,0.198364258,52.23202705
2023-01-19,04:00:00,22.14182434,0.192165375,52.23202705
2023-01-19,05:00:00,21.50307617,0.175952911,52.23202705
2023-01-19,06:00:00,21.81650696,0.083446503,52.23202705
2023-01-19,07:00:00,21.66809998,0.057220459,52.23202705
2023-01-19,08:00:00,21.92774353,0.070571899,52.23202705
2023-01-19,09:00:00,21.88471375,0.056266785,52.23202705
2023-01-19,10:00:00,23.42078552,0.029563904,52.23202705
2023-01-19,11:00:00,24.23450623,0.05531311,52.23202705
2023-01-19,12:00:00,25.20940552,0.054836273,52.23202705
2023-01-19,13:00:00,25.2268158,0.253200531,52.23202705
2023-01-19,14:00:00,25.95308838,0.035762787,52.23202705
2023-01-19,15:00:00,27.21566162,0.152111053,52.23202705
2023-01-19,16:00:00,27.40224609,0.264167786,52.23202705
2023-01-19,17:00:00,28.49453125,0.296592712,52.23202705
2023-01-19,18:00:00,28.57747803,0.102043152,52.23202705
2023-01-19,19:00:00,26.58413086,0.507831573,52.23202705
2023-01-19,20:00:00,25.11541138,0.678539276,52.23202705
2023-01-19,21:00:00,23.52045593,1.510620117,52.23202705
2023-01-19,22:00:00,23.13851318,1.946926117,52.23202705
2023-01-19,23:00:00,22.94223938,1.567840576,52.23202705
2023-01-20,00:00:00,23.06203613,0.991344452,53.63368988
2023-01-20,01:00:00,22.96227417,0.794410706,53.63368988
2023-01-20,02:00:00,22.89377747,0.542640686,53.63368988
2023-01-20,03:00:00,22.22316895,0.32043457,53.63368988
2023-01-20,04:00:00,22.0193573,0.114917755,53.63368988
2023-01-20,05:00:00,22.06868896,0.036716461,53.63368988
2023-01-20,06:00:00,21.65570984,0.005722046,53.63368988
2023-01-20,07:00:00,21.49170837,0.183582306,53.63368988
2023-01-20,08:00:00,21.50040588,0.004291534,53.63368988
2023-01-20,09:00:00,21.55845032,0,53.63368988
2023-01-20,10:00:00,23.82479248,0,53.63368988
2023-01-20,11:00:00,24.71871338,0,53.63368988
2023-01-20,12:00:00,25.61098633,0.006198883,53.63368988
2023-01-20,13:00:00,26.62230835,0.078678131,53.63368988
2023-01-20,14:00:00,27.34150085,0.002384186,53.63368988
2023-01-20,15:00:00,29.4934021,0.000953674,53.63368988
2023-01-20,16:00:00,29.94533691,0,53.63368988
2023-01-20,17:00:00,30.422052,0,53.63368988
2023-01-20,18:00:00,31.45195923,0.000953674,53.63368988
2023-01-20,19:00:00,31.63433228,0.005245209,53.63368988
2023-01-20,20:00:00,31.6012207,0.041484833,53.63368988
2023-01-20,21:00:00,30.09102783,0.013828278,53.63368988
2023-01-20,22:00:00,26.34450684,0.007629395,53.63368988
2023-01-20,23:00:00,26.00130615,0.018119812,53.63368988
2023-01-21,00:00:00,25.85912476,0,50.92525482
2023-01-21,01:00:00,25.36248169,0,50.92525482
2023-01-21,02:00:00,24.9996582,0,50.92525482
2023-01-21,03:00:00,23.99572144,0,50.92525482
2023-01-21,04:00:00,23.77481995,0,50.92525482
2023-01-21,05:00:00,23.35720215,0.008583069,50.92525482
2023-01-21,06:00:00,23.35485229,0.099182129,50.92525482
2023-01-21,07:00:00,23.49151001,0.071048737,50.92525482
2023-01-21,08:00:00,23.13878784,0,50.92525482
2023-01-21,09:00:00,22.47690735,0,50.92525482
2023-01-21,10:00:00,25.36379395,0,50.92525482
2023-01-21,11:00:00,26.78289185,0,50.92525482
2023-01-21,12:00:00,28.03145752,0.007629395,50.92525482
2023-01-21,13:00:00,28.47265015,0.014305115,50.92525482
